Website,Location,Sales Revenue,Tech Spend,Social,Employees,Traffic
shop.visitberlin.de, Germany,$203k+,$1000+,,,Very High
magento-demo.inxmail.com, Germany,,$1000+,,,-
au.puma.com, Germany,$100m+,$10000+,,,Very High
shop-hu.widex.com, Germany,,$5000+,,,Medium
guthabenkarte.mediamarkt.de, Germany,,$5000+,,,Medium
shop.lesmills.com, Germany,$47k+,$5000+,,,Medium
hobbyking.com, Germany,$545k+,$1000+,,,High
liebherr.com, Germany,$100m+,$10000+,,,Very High
technik.bild.de, Germany,,$10000+,,,Very High
omegawatches.com, Germany,$472k+,$5000+,,,Medium
mineria.basf.com, Germany,$100m+,$10000+,,,Very High
sigg.com, Germany,$420k+,$2000+,,,Medium
vaude.com, Germany,$487k+,$5000+,,,Medium
webshop.staatsbibliothek-berlin.de, Germany,,$250+,,,High
shop.impulse.de, Germany,,$1000+,,,Medium
skoda-auto.de, Germany,$147k+,$5000+,,,Medium
shop.stimme.de, Germany,,$1000+,,,High
shop.stadtwerke-bielefeld.de, Germany,$11k+,$2000+,,,-
vdpolizei.de, Germany,$150k+,$1000+,,,-
nam.employeestore.signify.com, Germany,$100m+,$10000+,,,High
abo-shop.express.de, Germany,,$2000+,,,High
aboshop.essen-und-trinken.de, Germany,,$5000+,,,High
alandia.de, Germany,$155k+,$500+,,,Medium
abo.saechsische.de, Germany,,$2000+,,,Medium
shop.sigma-foto.de, Germany,$13k+,$500+,,,Medium
strunz.com, Germany,$73k+,$1000+,,,-
volksstimme.de, Germany,,$1000+,,,High
stylevana.com, Germany,$258k+,$2000+,,,Medium
kartenwelt.rewe.de, Germany,$743k+,$5000+,,,High
uni-tuebingen.de, Germany,,$2000+,,,Very High
corporateshop.covestro.com, Germany,$1.1m+,$10000+,,,Medium
merchandise.telekom.com, Germany,$2.6m+,$5000+,,,Very High
shop.fendt.com, Germany,$31k+,$5000+,,,Medium
wmf.com, Germany,$448k+,$5000+,,,Medium
wardow.com, Germany,$252k+,$2000+,,,Medium
wimo.com, Germany,$213k+,$2000+,,,Medium
falke.com, Germany,$607k+,$5000+,,,Medium
fanshop.mann-filter.com, Germany,$320k+,$2000+,,,-
shop.mann-hummel.com, Germany,$80k+,$5000+,,,Medium
max2play.com, Germany,$356k+,$250+,,,High
